date,category,amount,description
2024-01-01,health,300000,Gym membership
2024-01-01,entertainment,221981,Shopping
2024-01-01,transportation,45700,Transportation expense
2024-01-01,transportation,39400,Transportation expense
2024-01-01,transportation,10400,Transportation expense
2024-01-02,food & beverages,77731,Beverage
2024-01-02,utilities,32156,Electric bill
2024-01-02,transportation,33500,Transportation expense
2024-01-02,health,99131,Health expense
2024-01-02,food & beverages,45108,Beverage
2024-01-02,transportation,34800,Transportation expense
2024-01-02,food & beverages,56198,Beverage
2024-01-03,food & beverages,19558,Beverage
2024-01-03,food & beverages,33965,Beverage
2024-01-03,other,40512,Other expense
2024-01-03,health,69823,Health expense
2024-01-03,food & beverages,38909,Food
2024-01-03,food & beverages,58920,Beverage
2024-01-03,food & beverages,57469,Food
2024-01-03,food & beverages,50005,Food
2024-01-03,utilities,80589,Water bill
2024-01-03,transportation,46500,Transportation expense
2024-01-03,food & beverages,65352,Beverage
2024-01-03,utilities,24207,Water bill
2024-01-03,utilities,55093,Tax
2024-01-03,food & beverages,52170,Food
2024-01-04,entertainment,361740,Arcade
2024-01-04,health,104259,Health expense
2024-01-04,transportation,27400,Transportation expense
2024-01-04,food & beverages,50322,Food
2024-01-04,food & beverages,73839,Food
2024-01-04,transportation,33700,Transportation expense
2024-01-04,food & beverages,48392,Food
2024-01-04,transportation,13100,Transportation expense
2024-01-04,health,40033,Health expense
2024-01-04,transportation,37700,Transportation expense
2024-01-05,entertainment,300078,Arcade
2024-01-05,transportation,46300,Transportation expense
2024-01-05,health,21504,Health expense
2024-01-05,utilities,90381,Electric bill
2024-01-05,utilities,34621,Internet
2024-01-05,food & beverages,15212,Beverage
2024-01-05,other,44522,Other expense
2024-01-05,other,33416,Other expense
2024-01-05,transportation,17000,Transportation expense
2024-01-05,health,59117,Health expense
2024-01-05,health,86540,Health expense
2024-01-05,transportation,20000,Transportation expense
2024-01-05,transportation,20600,Transportation expense
2024-01-05,transportation,44800,Transportation expense
2024-01-06,transportation,17300,Transportation expense
2024-01-06,other,50306,Other expense
2024-01-06,food & beverages,52182,Beverage
2024-01-06,other,21226,Other expense
2024-01-06,utilities,89822,Electric bill
2024-01-07,entertainment,349184,Karaoke
2024-01-07,food & beverages,42730,Food
2024-01-07,other,80686,Other expense
2024-01-07,utilities,60857,Water bill
2024-01-07,transportation,34500,Transportation expense
2024-01-07,transportation,43900,Transportation expense
2024-01-07,transportation,26200,Transportation expense
2024-01-08,entertainment,111028,Karaoke
2024-01-08,transportation,10500,Transportation expense
2024-01-08,food & beverages,30003,Food
2024-01-08,food & beverages,36654,Beverage
2024-01-08,food & beverages,58842,Beverage
2024-01-08,transportation,45300,Transportation expense
2024-01-08,food & beverages,52423,Food
2024-01-08,transportation,25900,Transportation expense
2024-01-09,food & beverages,43249,Beverage
2024-01-09,food & beverages,71612,Food
2024-01-09,utilities,27944,Electric bill
2024-01-09,transportation,32200,Transportation expense
2024-01-09,utilities,52591,Electric bill
2024-01-09,food & beverages,24186,Food
2024-01-09,transportation,28300,Transportation expense
2024-01-09,transportation,14900,Transportation expense
2024-01-09,transportation,46100,Transportation expense
2024-01-09,food & beverages,50427,Food
2024-01-09,health,32224,Health expense
2024-01-09,other,40982,Other expense
2024-01-10,transportation,36300,Transportation expense
2024-01-10,health,41579,Health expense
2024-01-10,transportation,35600,Transportation expense
2024-01-10,food & beverages,44819,Food
2024-01-10,food & beverages,62874,Food
2024-01-10,other,82845,Other expense
2024-01-10,utilities,40289,Tax
2024-01-11,entertainment,130662,Shopping
2024-01-11,utilities,26572,Electric bill
2024-01-11,transportation,43000,Transportation expense
2024-01-11,other,79615,Other expense
2024-01-11,food & beverages,20250,Food
2024-01-11,health,28981,Health expense
2024-01-11,transportation,25400,Transportation expense
2024-01-11,transportation,47300,Transportation expense
2024-01-12,food & beverages,58081,Beverage
2024-01-12,transportation,44300,Transportation expense
2024-01-12,food & beverages,58891,Beverage
2024-01-12,utilities,54814,Water bill
2024-01-12,transportation,29700,Transportation expense
2024-01-12,transportation,14800,Transportation expense
2024-01-12,food & beverages,51896,Food
2024-01-12,other,19602,Other expense
2024-01-13,entertainment,239041,Karaoke
2024-01-13,other,19016,Other expense
2024-01-13,health,68434,Health expense
2024-01-13,food & beverages,50600,Food
2024-01-13,utilities,92692,Electric bill
2024-01-13,food & beverages,76533,Food
2024-01-13,health,54664,Health expense
2024-01-13,food & beverages,51256,Beverage
2024-01-13,food & beverages,28803,Beverage
2024-01-13,utilities,54600,Water bill
2024-01-13,transportation,26500,Transportation expense
2024-01-13,health,26658,Health expense
2024-01-13,food & beverages,33132,Food
2024-01-14,entertainment,168587,Cinema
2024-01-14,food & beverages,61246,Food
2024-01-14,transportation,10600,Transportation expense
2024-01-14,food & beverages,60286,Food
2024-01-14,health,91511,Health expense
2024-01-15,transportation,19700,Transportation expense
2024-01-15,transportation,12700,Transportation expense
2024-01-15,food & beverages,67174,Food
2024-01-15,other,15229,Other expense
2024-01-15,health,47535,Health expense
2024-01-16,entertainment,153893,Cinema
2024-01-16,utilities,40257,Tax
2024-01-16,other,41029,Other expense
2024-01-16,health,43206,Health expense
2024-01-16,health,23248,Health expense
2024-01-16,food & beverages,66274,Food
2024-01-17,entertainment,467671,Shopping
2024-02-01,health,300000,Gym membership
2024-02-01,transportation,10000,Transportation expense
2024-02-01,food & beverages,66495,Beverage
2024-02-01,transportation,31100,Transportation expense
2024-02-01,transportation,39000,Transportation expense
2024-02-01,utilities,42241,Tax
2024-02-01,utilities,87561,Internet
2024-02-01,utilities,32240,Internet
2024-02-01,health,118453,Health expense
2024-02-01,food & beverages,67858,Beverage
2024-02-01,food & beverages,31046,Beverage
2024-02-01,other,90120,Other expense
2024-02-01,health,29545,Health expense
2024-02-01,transportation,47700,Transportation expense
2024-02-02,transportation,36200,Transportation expense
2024-02-02,food & beverages,15363,Food
2024-02-02,health,33970,Health expense
2024-02-02,utilities,43053,Water bill
2024-02-02,utilities,26582,Tax
2024-02-02,transportation,18000,Transportation expense
2024-02-02,transportation,40400,Transportation expense
2024-02-02,utilities,78008,Internet
2024-02-03,health,75933,Health expense
2024-02-03,health,91810,Health expense
2024-02-03,transportation,20400,Transportation expense
2024-02-03,utilities,78991,Tax
2024-02-03,food & beverages,56789,Beverage
2024-02-03,food & beverages,46758,Food
2024-02-03,transportation,28000,Transportation expense
2024-02-03,transportation,28700,Transportation expense
2024-02-03,food & beverages,73525,Beverage
2024-02-03,transportation,19100,Transportation expense
2024-02-03,food & beverages,25014,Beverage
2024-02-03,utilities,74377,Electric bill
2024-02-03,transportation,45600,Transportation expense
2024-02-03,transportation,14100,Transportation expense
2024-02-04,transportation,48300,Transportation expense
2024-02-04,other,12560,Other expense
2024-02-04,health,95456,Health expense
2024-02-04,transportation,10400,Transportation expense
2024-02-04,other,49139,Other expense
2024-02-04,utilities,90545,Tax
2024-02-04,utilities,83993,Water bill
2024-02-04,food & beverages,16902,Food
2024-02-05,utilities,41632,Tax
2024-02-05,health,36728,Health expense
2024-02-05,other,80008,Other expense
2024-02-05,food & beverages,51987,Beverage
2024-02-05,utilities,76179,Electric bill
2024-02-05,food & beverages,18295,Food
2024-02-05,food & beverages,44799,Beverage
2024-02-05,food & beverages,39846,Food
2024-02-05,food & beverages,42627,Food
2024-02-05,food & beverages,16270,Beverage
2024-02-05,utilities,65870,Electric bill
2024-02-06,utilities,24067,Electric bill
2024-02-06,other,36130,Other expense
2024-02-06,health,101439,Health expense
2024-02-06,food & beverages,58873,Beverage
2024-02-06,food & beverages,45476,Food
2024-02-06,utilities,41992,Internet
2024-02-06,transportation,17500,Transportation expense
2024-02-06,utilities,60768,Water bill
2024-02-07,other,85470,Other expense
2024-02-07,utilities,71990,Tax
2024-02-07,other,35995,Other expense
2024-02-07,food & beverages,56106,Food
2024-02-07,food & beverages,34764,Food
2024-02-07,health,98697,Health expense
2024-02-08,transportation,12700,Transportation expense
2024-02-08,food & beverages,39285,Food
2024-02-08,food & beverages,15829,Food
2024-02-08,health,84251,Health expense
2024-02-08,food & beverages,56653,Food
2024-02-08,health,80258,Health expense
2024-02-09,utilities,90539,Internet
2024-02-09,utilities,77091,Tax
2024-02-09,health,97656,Health expense
2024-02-09,food & beverages,69442,Food
2024-02-09,other,46559,Other expense
2024-02-09,health,51963,Health expense
2024-02-09,utilities,64092,Tax
2024-02-10,food & beverages,38253,Food
2024-02-10,utilities,56655,Internet
2024-02-10,health,111905,Health expense
2024-02-10,health,92848,Health expense
2024-02-10,food & beverages,20610,Food
2024-02-11,transportation,25700,Transportation expense
2024-02-11,utilities,78743,Tax
2024-02-11,utilities,58566,Electric bill
2024-02-11,food & beverages,35067,Food
2024-02-11,utilities,82031,Internet
2024-02-11,transportation,32500,Transportation expense
2024-02-11,transportation,46100,Transportation expense
2024-02-11,food & beverages,32754,Food
2024-02-12,entertainment,163258,Karaoke
2024-02-12,food & beverages,77316,Food
2024-02-12,utilities,45105,Water bill
2024-02-12,food & beverages,62486,Food
2024-02-12,transportation,44400,Transportation expense
2024-02-12,transportation,16600,Transportation expense
2024-02-12,health,58829,Health expense
2024-02-12,food & beverages,15927,Beverage
2024-02-12,utilities,55954,Water bill
2024-02-13,transportation,18300,Transportation expense
2024-02-13,utilities,33446,Tax
2024-02-13,health,95243,Health expense
2024-02-13,food & beverages,37328,Food
2024-02-13,food & beverages,76673,Beverage
2024-02-14,entertainment,134258,Arcade
2024-02-14,transportation,47800,Transportation expense
2024-02-14,transportation,13500,Transportation expense
2024-02-14,food & beverages,77201,Food
2024-02-14,food & beverages,22762,Food
2024-02-14,transportation,37300,Transportation expense
2024-02-14,transportation,24800,Transportation expense
2024-02-14,utilities,79049,Tax
